"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Полный позитивный сценарий: заказ через кнопку в шапке.","2061","test_order_from_header_button[\u0410\u043d\u043d\u0430-\u041f\u0435\u0442\u0440\u043e\u0432\u0430-\u041c\u043e\u0441\u043a\u0432\u0430, \u041b\u0435\u043d\u0438\u043d\u0433\u0440\u0430\u0434\u0441\u043a\u0438\u0439 \u043f\u0440\u043e\u0441\u043f\u0435\u043a\u0442, 5-\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442-+79876543210-4-\u041e\u0441\u0442\u0430\u0432\u0438\u0442\u044c \u0443 \u0434\u0432\u0435\u0440\u0438]","tests","2026-08-14","passed","2026-08-14","TestOrderFlow","test_order_flow","",""
"Проверка: клик по логотипу Яндекса открывает Дзен в новой вкладке.","567","test_click_yandex_logo_opens_dzen","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
"Полный позитивный сценарий: заказ через кнопку в шапке.","2093","test_order_from_header_button[\u041f\u0430\u0432\u0435\u043b-\u0418\u043a\u043e\u043d\u043e\u043f\u0438\u0441\u0446\u0435\u0432-\u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043b. \u041b\u0435\u043d\u0438\u043d\u0430, 1-\u0421\u043e\u043a\u043e\u043b\u044c\u043d\u0438\u043a\u0438-+79991234567-2-\u041f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0437\u0430 \u0447\u0430\u0441 \u0434\u043e \u0434\u043e\u0441\u0442\u0430\u0432\u043a\u0438]","tests","2026-08-14","passed","2026-08-14","TestOrderFlow","test_order_flow","",""
"Проверка: при клике на вопрос открывается правильный текст ответа.","1158","test_question_accordion[q4]","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
"Полный позитивный сценарий: заказ через кнопку в середине страницы.","2891","test_order_from_middle_button[\u041f\u0430\u0432\u0435\u043b-\u0418\u043a\u043e\u043d\u043e\u043f\u0438\u0441\u0446\u0435\u0432-\u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043b. \u041b\u0435\u043d\u0438\u043d\u0430, 1-\u0421\u043e\u043a\u043e\u043b\u044c\u043d\u0438\u043a\u0438-+79991234567-2-\u041f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0437\u0430 \u0447\u0430\u0441 \u0434\u043e \u0434\u043e\u0441\u0442\u0430\u0432\u043a\u0438]","tests","2026-08-14","passed","2026-08-14","TestOrderFlow","test_order_flow","",""
"Проверка: клик по логотипу Самоката возвращает на главную страницу.","49","test_click_scooter_logo_returns_to_main_page","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
"Проверка: при клике на вопрос открывается правильный текст ответа.","635","test_question_accordion[q3]","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
"Проверка: при клике на вопрос открывается правильный текст ответа.","653","test_question_accordion[q8]","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
"Полный позитивный сценарий: заказ через кнопку в середине страницы.","2879","test_order_from_middle_button[\u0410\u043d\u043d\u0430-\u041f\u0435\u0442\u0440\u043e\u0432\u0430-\u041c\u043e\u0441\u043a\u0432\u0430, \u041b\u0435\u043d\u0438\u043d\u0433\u0440\u0430\u0434\u0441\u043a\u0438\u0439 \u043f\u0440\u043e\u0441\u043f\u0435\u043a\u0442, 5-\u0410\u044d\u0440\u043e\u043f\u043e\u0440\u0442-+79876543210-4-\u041e\u0441\u0442\u0430\u0432\u0438\u0442\u044c \u0443 \u0434\u0432\u0435\u0440\u0438]","tests","2026-08-14","passed","2026-08-14","TestOrderFlow","test_order_flow","",""
"Проверка: при клике на вопрос открывается правильный текст ответа.","696","test_question_accordion[q2]","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
"Проверка: при клике на вопрос открывается правильный текст ответа.","1144","test_question_accordion[q5]","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
"Проверка: при клике на вопрос открывается правильный текст ответа.","1238","test_question_accordion[q1]","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
"Проверка: при клике на вопрос открывается правильный текст ответа.","1159","test_question_accordion[q6]","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
"Проверка: при клике на вопрос открывается правильный текст ответа.","1138","test_question_accordion[q7]","tests","2026-08-14","passed","2026-08-14","TestMainPage","test_main_page","",""
